S. No,Category,State/UT,2016,2017,2018,Percentage Share of State/UT (2018),col3
1,State,Andhra Pradesh,616,931,1207,4.4,-0.1748701002166641
2,State,Arunachal Pradesh,4,1,7,0.0,-0.27577425726074445
3,State,Assam,696,1120,2022,7.4,-0.16168001432854903
4,State,Bihar,309,433,374,1.4,-0.22548705481230572
5,State,Chhattisgarh,90,171,139,0.5,-0.2615949149310207
6,State,Goa,31,13,29,0.1,-0.2713226032735056
7,State,Gujarat,362,458,702,2.6,-0.2167486229114295
8,State,Haryana,401,504,418,1.5,-0.21031845604097338
9,State,Himachal Pradesh,31,56,69,0.3,-0.2713226032735056
10,State,Jammu & Kashmir,28,63,73,0.3,-0.2718172314943099
11,State,Jharkhand,259,720,930,3.4,-0.23373085849237765
12,State,Karnataka,1101,3174,5839,21.4,-0.09490520451996645
13,State,Kerala,283,320,340,1.2,-0.22977383272594312
14,State,Madhya Pradesh,258,490,740,2.7,-0.23389573456597906
15,State,Maharashtra,2380,3604,3511,12.9,0.11597129361627334
16,State,Manipur,11,74,29,0.1,-0.2746201247455344
17,State,Meghalaya,39,39,74,0.3,-0.2700035946846941
18,State,Mizoram,1,10,6,0.0,-0.27626888548154876
19,State,Nagaland,2,0,2,0.0,-0.2761040094079473
20,State,Odisha,317,824,843,3.1,-0.2241680462234942
21,State,Punjab,102,176,239,0.9,-0.25961640204780345
22,State,Rajasthan,941,1304,1104,4.1,-0.12128537629619661
23,State,Sikkim,1,1,1,0.0,-0.27626888548154876
24,State,Tamil Nadu,144,228,295,1.1,-0.2526916069565431
25,State,Telangana,593,1209,1205,4.4,-0.1786622499094972
26,State,Tripura,8,7,20,0.1,-0.2751147529663387
27,State,Uttar Pradesh,2639,4971,6280,23.0,0.15867419667904592
28,State,Uttarakhand,62,124,171,0.6,-0.266211444991861
29,State,West Bengal,478,568,335,1.2,-0.19762299837366262
State,State,Total State(s),12187,21593,27004,99.1,1.7329109474255804
30,Union Territory,A & N Islands,3,3,7,0.0,-0.2759391333343459
31,Union Territory,Chandigarh,26,32,30,0.1,-0.2721469836415128
32,Union Territory,D&N Haveli,1,1,0,0.0,-0.27626888548154876
33,Union Territory,Daman & Diu,0,0,0,0.0,-0.2764337615551502
34,Union Territory,Delhi UT,98,162,189,0.7,-0.2602759063422092
35,Union Territory,Lakshadweep,0,0,4,0.0,-0.2764337615551502
36,Union Territory,Puducherry,2,5,14,0.1,-0.2761040094079473
Union Territory,Union Territory,Total UT(s),130,203,244,0.9,-0.2549998719869632
Total (All India),Total (All India),Total (All India),12317,21796,27248,100.0,1.7543448369937673
